TYPE,REASON,TICKER,NAME,ENTRY_DATE,EXIT_DATE,HOLDING_DAYS,ENTRY_PRICE,EXIT_PRICE,SHARES,GROSS_PNL,COSTS,NET_PNL
BUY,REBALANCE,NV20,NV20,2020-08-03,,,5.78,,34759.7985,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2020-08-03,,,279.7,,718.3112,,20.0,
BUY,REBALANCE,EBBETF0430,EBBETF0430,2020-08-03,,,1109.54,,181.0765,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-08-03,,,5.907,,34012.4658,,20.0,
BUY,REBALANCE,GOLDBETA,GOLDBETA,2020-08-03,,,49.019,,4098.6482,,20.0,
SELL,MONTHLY_REBALANCE,NV20,NV20,2020-08-03,2020-09-01,29.0,5.78,5.834,34759.7985,1877.03,20.0,1857.03
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-08-03,2020-09-01,29.0,279.7,283.04,718.3112,2399.16,20.0,2379.16
SELL,MONTHLY_REBALANCE,EBBETF0430,EBBETF0430,2020-08-03,2020-09-01,29.0,1109.54,1095.0,181.0765,-2632.85,20.0,-2652.85
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-08-03,2020-09-01,29.0,5.907,6.445,34012.4658,18298.71,20.0,18278.71
SELL,MONTHLY_REBALANCE,GOLDBETA,GOLDBETA,2020-08-03,2020-09-01,29.0,49.019,47.3335,4098.6482,-6908.27,20.0,-6928.27
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-09-01,,,6.445,,31571.5076,,20.0,
BUY,REBALANCE,MIDSELIETF,MIDSELIETF,2020-09-01,,,6.376,,31913.1692,,20.0,
BUY,REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-09-01,,,103.5,,1965.9746,,20.0,
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-09-01,,,9.436,,21564.049,,20.0,
BUY,REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-09-01,,,41.2927,,4927.708,,20.0,
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-09-01,2020-10-01,30.0,6.445,6.53,31571.5076,2683.58,20.0,2663.58
SELL,MONTHLY_REBALANCE,MIDSELIETF,MIDSELIETF,2020-09-01,2020-10-01,30.0,6.376,6.544,31913.1692,5361.41,20.0,5341.41
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-09-01,2020-10-01,30.0,103.5,106.96,1965.9746,6802.27,20.0,6782.27
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-09-01,2020-10-01,30.0,9.436,9.658,21564.049,4787.22,20.0,4767.22
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-09-01,2020-10-01,30.0,41.2927,40.9777,4927.708,-1552.23,20.0,-1572.23
BUY,REBALANCE,NV20IETF,NV20IETF,2020-10-01,,,5.836,,35478.8885,,20.0,
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-10-01,,,9.658,,21438.6823,,20.0,
BUY,REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-10-01,,,106.96,,1935.8152,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-10-01,,,6.53,,31708.2379,,20.0,
BUY,REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-10-01,,,40.9777,,5052.8652,,20.0,
SELL,MONTHLY_REBALANCE,NV20IETF,NV20IETF,2020-10-01,2020-11-02,32.0,5.836,5.964,35478.8885,4541.3,20.0,4521.3
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-10-01,2020-11-02,32.0,9.658,9.931,21438.6823,5852.76,20.0,5832.76
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-10-01,2020-11-02,32.0,106.96,106.5,1935.8152,-890.47,20.0,-910.47
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-10-01,2020-11-02,32.0,6.53,6.55,31708.2379,634.16,20.0,614.16
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-10-01,2020-11-02,32.0,40.9777,42.6364,5052.8652,8381.19,20.0,8361.19
BUY,REBALANCE,MIDSELIETF,MIDSELIETF,2020-11-02,,,6.531,,32264.3634,,20.0,
BUY,REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-11-02,,,42.6364,,4942.2221,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-11-02,,,6.55,,32170.7721,,20.0,
BUY,REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-11-02,,,106.5,,1978.578,,20.0,
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-11-02,,,9.931,,21218.2617,,20.0,
SELL,MONTHLY_REBALANCE,MIDSELIETF,MIDSELIETF,2020-11-02,2020-12-01,29.0,6.531,7.446,32264.3634,29521.89,20.0,29501.89
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-11-02,2020-12-01,29.0,42.6364,47.25,4942.2221,22801.44,20.0,22781.44
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-11-02,2020-12-01,29.0,6.55,7.595,32170.7721,33618.46,20.0,33598.46
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2020-11-02,2020-12-01,29.0,106.5,114.6,1978.578,16026.48,20.0,16006.48
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-11-02,2020-12-01,29.0,9.931,10.629,21218.2617,14810.35,20.0,14790.35
BUY,REBALANCE,SETFNIF50,SETFNIF50,2020-12-01,,,132.2203,,1770.0327,,20.0,
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-12-01,,,10.629,,22018.4644,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-12-01,,,7.595,,30814.2539,,20.0,
BUY,REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-12-01,,,47.25,,4953.106,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2020-12-01,,,321.77,,727.334,,20.0,
SELL,MONTHLY_REBALANCE,SETFNIF50,SETFNIF50,2020-12-01,2021-01-01,31.0,132.2203,141.6639,1770.0327,16715.48,20.0,16695.48
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2020-12-01,2021-01-01,31.0,10.629,11.419,22018.4644,17394.59,20.0,17374.59
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2020-12-01,2021-01-01,31.0,7.595,8.027,30814.2539,13311.76,20.0,13291.76
SELL,MONTHLY_REBALANCE,HDFCSENSEX,HDFCSENSEX,2020-12-01,2021-01-01,31.0,47.25,51.0232,4953.106,18689.06,20.0,18669.06
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2020-12-01,2021-01-01,31.0,321.77,342.19,727.334,14852.16,20.0,14832.16
BUY,REBALANCE,SETFNIF50,SETFNIF50,2021-01-01,,,141.6639,,1766.0593,,20.0,
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-01-01,,,11.419,,21909.6981,,20.0,
BUY,REBALANCE,HDFCSENSEX,HDFCSENSEX,2021-01-01,,,51.0232,,4903.3938,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2021-01-01,,,342.19,,731.1343,,20.0,
BUY,REBALANCE,BANKBEES,BANKBEES,2021-01-01,,,313.65,,797.6625,,20.0,
SELL,HOLD_DROPPED_OUT,SETFNIF50,SETFNIF50,2021-01-01,2021-02-01,31.0,141.6639,144.1101,1766.0593,4320.13,20.0,4300.13
SELL,HOLD_DROPPED_OUT,HDFCSENSEX,HDFCSENSEX,2021-01-01,2021-02-01,31.0,51.0232,51.3532,4903.3938,1618.12,20.0,1598.12
SELL,HOLD_DROPPED_OUT,JUNIORBEES,JUNIORBEES,2021-01-01,2021-02-01,31.0,342.19,341.85,731.1343,-248.59,20.0,-268.59
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-01-01,2021-03-01,59.0,11.419,11.713,21909.6981,6441.45,20.0,6421.45
SELL,MONTHLY_REBALANCE,BANKBEES,BANKBEES,2021-01-01,2021-03-01,59.0,313.65,354.96,797.6625,32951.44,20.0,32931.44
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-03-01,,,9.0,,28814.3486,,20.0,
BUY,REBALANCE,MID150BEES,MID150BEES,2021-03-01,,,90.39,,2869.0025,,20.0,
BUY,REBALANCE,PSUBANK,PSUBANK,2021-03-01,,,232.36,,1116.0662,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2021-03-01,,,361.41,,717.5483,,20.0,
BUY,REBALANCE,INFRABEES,INFRABEES,2021-03-01,,,434.47,,596.8862,,20.0,
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-03-01,2021-04-01,31.0,9.0,9.296,28814.3486,8529.05,20.0,8509.05
SELL,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-03-01,2021-04-01,31.0,90.39,92.5,2869.0025,6053.6,20.0,6033.6
SELL,MONTHLY_REBALANCE,PSUBANK,PSUBANK,2021-03-01,2021-04-01,31.0,232.36,217.55,1116.0662,-16528.94,20.0,-16548.94
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-03-01,2021-04-01,31.0,361.41,362.9,717.5483,1069.15,20.0,1049.15
SELL,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-03-01,2021-04-01,31.0,434.47,430.31,596.8862,-2483.05,20.0,-2503.05
BUY,REBALANCE,MID150BEES,MID150BEES,2021-04-01,,,92.5,,2795.8603,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-04-01,,,9.296,,27820.2533,,20.0,
BUY,REBALANCE,PSUBANK,PSUBANK,2021-04-01,,,217.55,,1188.7707,,20.0,
BUY,REBALANCE,INFRABEES,INFRABEES,2021-04-01,,,430.31,,601.0018,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2021-04-01,,,362.9,,712.6401,,20.0,
SELL,TSL_HIT (12.6%),PSUBANK,PSUBANK,2021-04-01,2021-04-19,18.0,217.55,190.17,1188.7707,-32548.54,20.0,-32568.54
SELL,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-04-01,2021-05-03,32.0,92.5,92.4,2795.8603,-279.59,20.0,-299.59
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-04-01,2021-05-03,32.0,9.296,9.216,27820.2533,-2225.62,20.0,-2245.62
SELL,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-04-01,2021-05-03,32.0,430.31,420.4,601.0018,-5955.93,20.0,-5975.93
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-04-01,2021-05-03,32.0,362.9,366.46,712.6401,2537.0,20.0,2517.0
BUY,REBALANCE,MID150BEES,MID150BEES,2021-05-03,,,92.4,,2715.4201,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-05-03,,,9.216,,27224.9152,,20.0,
BUY,REBALANCE,CPSEETF,CPSEETF,2021-05-03,,,23.13,,10847.5927,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2021-05-03,,,366.46,,684.6718,,20.0,
BUY,REBALANCE,INFRABEES,INFRABEES,2021-05-03,,,420.4,,596.824,,20.0,
SELL,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-05-03,2021-06-01,29.0,92.4,98.13,2715.4201,15559.36,20.0,15539.36
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-05-03,2021-06-01,29.0,9.216,9.742,27224.9152,14320.31,20.0,14300.31
SELL,MONTHLY_REBALANCE,CPSEETF,CPSEETF,2021-05-03,2021-06-01,29.0,23.13,25.01,10847.5927,20393.47,20.0,20373.47
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-05-03,2021-06-01,29.0,366.46,394.21,684.6718,18999.64,20.0,18979.64
SELL,MONTHLY_REBALANCE,INFRABEES,INFRABEES,2021-05-03,2021-06-01,29.0,420.4,446.96,596.824,15851.65,20.0,15831.65
BUY,REBALANCE,LICNETFN50,LICNETFN50,2021-06-01,,,195.91,,1367.412,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-06-01,,,9.742,,27498.4276,,20.0,
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-06-01,,,12.686,,21116.9542,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2021-06-01,,,394.21,,679.5608,,20.0,
BUY,REBALANCE,SBIETFQLTY,SBIETFQLTY,2021-06-01,,,134.22,,1995.8999,,20.0,
SELL,MONTHLY_REBALANCE,LICNETFN50,LICNETFN50,2021-06-01,2021-07-01,30.0,195.91,200.62,1367.412,6440.51,20.0,6420.51
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-06-01,2021-07-01,30.0,9.742,10.278,27498.4276,14739.16,20.0,14719.16
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-06-01,2021-07-01,30.0,12.686,12.964,21116.9542,5870.51,20.0,5850.51
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-06-01,2021-07-01,30.0,394.21,403.25,679.5608,6143.23,20.0,6123.23
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2021-06-01,2021-07-01,30.0,134.22,138.91,1995.8999,9360.77,20.0,9340.77
BUY,REBALANCE,LICNETFN50,LICNETFN50,2021-07-01,,,200.62,,1377.5321,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-07-01,,,10.278,,26888.5477,,20.0,
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-07-01,,,12.964,,21317.5327,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2021-07-01,,,403.25,,685.3329,,20.0,
BUY,REBALANCE,ITBEES,ITBEES,2021-07-01,,,29.47,,9377.689,,20.0,
SELL,MONTHLY_REBALANCE,LICNETFN50,LICNETFN50,2021-07-01,2021-08-02,32.0,200.62,169.15,1377.5321,-43350.94,20.0,-43370.94
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-07-01,2021-08-02,32.0,10.278,10.708,26888.5477,11562.08,20.0,11542.08
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-07-01,2021-08-02,32.0,12.964,13.118,21317.5327,3282.9,20.0,3262.9
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-07-01,2021-08-02,32.0,403.25,416.48,685.3329,9066.95,20.0,9046.95
SELL,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-07-01,2021-08-02,32.0,29.47,31.33,9377.689,17442.5,20.0,17422.5
BUY,REBALANCE,MID150BEES,MID150BEES,2021-08-02,,,107.5,,2566.7086,,20.0,
BUY,REBALANCE,SBIETFQLTY,SBIETFQLTY,2021-08-02,,,142.74,,1933.0333,,20.0,
BUY,REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-08-02,,,10.708,,25767.7596,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2021-08-02,,,416.48,,662.5076,,20.0,
BUY,REBALANCE,ITBEES,ITBEES,2021-08-02,,,31.33,,8806.9317,,20.0,
SELL,MONTHLY_REBALANCE,MID150BEES,MID150BEES,2021-08-02,2021-09-01,30.0,107.5,109.34,2566.7086,4722.74,20.0,4702.74
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2021-08-02,2021-09-01,30.0,142.74,151.36,1933.0333,16662.75,20.0,16642.75
SELL,MONTHLY_REBALANCE,MIDCAPIETF,MIDCAPIETF,2021-08-02,2021-09-01,30.0,10.708,10.871,25767.7596,4200.14,20.0,4180.14
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-08-02,2021-09-01,30.0,416.48,438.14,662.5076,14349.91,20.0,14329.91
SELL,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-08-02,2021-09-01,30.0,31.33,34.78,8806.9317,30383.91,20.0,30363.91
BUY,REBALANCE,SBIETFIT,SBIETFIT,2021-09-01,,,347.95,,833.2951,,20.0,
BUY,REBALANCE,ITBEES,ITBEES,2021-09-01,,,34.78,,8336.5451,,20.0,
BUY,REBALANCE,SBIETFQLTY,SBIETFQLTY,2021-09-01,,,151.36,,1915.5988,,20.0,
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-09-01,,,13.944,,20793.5341,,20.0,
BUY,REBALANCE,JUNIORBEES,JUNIORBEES,2021-09-01,,,438.14,,661.7635,,20.0,
SELL,MONTHLY_REBALANCE,SBIETFIT,SBIETFIT,2021-09-01,2021-10-01,30.0,347.95,354.09,833.2951,5116.43,20.0,5096.43
SELL,MONTHLY_REBALANCE,ITBEES,ITBEES,2021-09-01,2021-10-01,30.0,34.78,35.43,8336.5451,5418.75,20.0,5398.75
SELL,MONTHLY_REBALANCE,SBIETFQLTY,SBIETFQLTY,2021-09-01,2021-10-01,30.0,151.36,155.99,1915.5988,8869.22,20.0,8849.22
SELL,MONTHLY_REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-09-01,2021-10-01,30.0,13.944,14.432,20793.5341,10147.24,20.0,10127.24
SELL,MONTHLY_REBALANCE,JUNIORBEES,JUNIORBEES,2021-09-01,2021-10-01,30.0,438.14,443.55,661.7635,3580.14,20.0,3560.14
BUY,REBALANCE,LOWVOLIETF,LOWVOLIETF,2021-10-01,,,14.432,,20546.7971,,20.0,
