ticker,entry_date,exit_date,entry_price,exit_price,shares,cost,proceeds,pnl,pnl_pct,exit_reason
TARC,2021-11-15,2021-11-23,51.28,45.73,1950,99989.76,89176.03,-10813.73,-10.81,TSL
RTNPOWER,2022-01-11,2022-01-19,8.51,7.14,11620,98918.15,82958.38,-15959.78,-16.13,TSL
GPIL,2022-03-24,2022-04-27,389.38,410.76,249,96955.69,102279.65,5323.96,5.49,TSL
ASAHIINDIA,2022-07-22,2022-08-11,588.65,524.93,166,97716.45,87137.58,-10578.87,-10.83,TSL
RKFORGE,2022-08-30,2022-09-26,196.92,181.79,500,98459.56,90896.08,-7563.48,-7.68,TSL
INDIACEM,2022-09-01,2022-09-26,226.21,248.63,435,98399.98,108152.53,9752.55,9.91,TSL
JSWENERGY,2022-09-05,2022-09-26,346.73,305.17,285,98818.68,86974.63,-11844.05,-11.99,TSL
SKFINDIA,2022-07-28,2022-09-26,3903.95,4330.35,24,93694.79,103928.43,10233.65,10.92,TSL
AFFLE,2022-08-26,2022-09-27,1337.0,1210.18,73,97601.18,88343.29,-9257.9,-9.49,TSL
MIDHANI,2022-09-06,2022-09-28,205.73,195.33,417,85790.34,81453.56,-4336.78,-5.06,TSL
AWL,2022-09-26,2022-10-04,814.02,728.91,122,99310.34,88926.41,-10383.93,-10.46,TSL
SCHNEIDER,2022-09-06,2022-10-24,141.16,170.88,699,98671.83,119443.93,20772.09,21.05,TSL
RHIM,2022-09-26,2022-11-01,658.55,632.92,151,99441.19,95570.58,-3870.61,-3.89,TSL
ABFRL,2022-09-02,2022-11-09,309.46,321.62,319,98718.86,102595.78,3876.92,3.93,TSL
SHAREINDIA,2022-11-03,2022-11-14,268.6,234.95,362,97233.04,85050.57,-12182.47,-12.53,TSL
ZEEL,2022-10-07,2022-11-18,273.33,246.05,361,98673.01,88823.37,-9849.64,-9.98,TSL
THOMASCOOK,2022-09-05,2022-11-23,74.59,72.04,1326,98900.12,95529.05,-3371.07,-3.41,TSL
ERIS,2022-10-07,2022-11-25,733.69,662.81,134,98314.41,88816.61,-9497.8,-9.66,TSL
BEML,2022-09-02,2022-12-01,778.5,720.55,127,98869.75,91509.41,-7360.35,-7.44,TSL
RVNL,2022-09-26,2022-12-06,33.69,67.75,2956,99586.17,200280.25,100694.08,101.11,TSL
RAILTEL,2022-10-31,2022-12-12,114.15,120.98,865,98735.62,104644.07,5908.45,5.98,TSL
SHRIRAMFIN,2022-12-21,2023-02-20,259.82,233.44,395,102630.2,92210.02,-10420.18,-10.15,TSL
CGCL,2022-10-28,2023-03-13,718.59,652.31,138,99165.38,90018.57,-9146.81,-9.22,TSL
NBCC,2023-05-25,2023-06-30,28.27,25.01,3592,101547.54,89838.93,-11708.61,-11.53,TSL
HCC,2023-06-02,2023-07-28,18.43,19.07,5431,100080.29,103576.5,3496.21,3.49,TSL
JWL,2023-05-25,2023-08-02,127.47,203.46,796,101464.24,161955.11,60490.88,59.62,TSL
HINDCOPPER,2023-07-28,2023-08-17,125.96,140.63,822,103539.64,115596.83,12057.19,11.64,TSL
TORNTPHARM,2023-05-09,2023-09-01,1618.62,1798.16,62,100354.21,111486.15,11131.94,11.09,TSL
EMAMILTD,2023-08-03,2023-10-10,423.95,478.88,273,115738.27,130734.15,14995.88,12.96,TSL
PARADEEP,2023-06-30,2023-10-10,61.71,65.52,1455,89790.72,95332.17,5541.44,6.17,TSL
PCBL,2023-05-26,2023-10-25,128.78,178.75,793,102124.95,141747.45,39622.5,38.8,TSL
LEMONTREE,2023-05-17,2023-10-26,94.79,106.64,1064,100858.66,113464.75,12606.09,12.5,TSL
MSUMI,2023-05-31,2023-10-26,37.23,38.59,2735,101820.64,105544.4,3723.76,3.66,TSL
RITES,2024-01-23,2024-01-24,301.16,266.78,443,133412.44,118183.97,-15228.47,-11.41,TSL
MMTC,2024-02-01,2024-02-12,81.52,81.93,683,55679.6,55956.09,276.5,0.5,TSL
CENTRALBK,2024-01-30,2024-02-13,54.35,56.78,2500,135862.62,141951.73,6089.11,4.48,TSL
RITES,2024-01-24,2024-02-13,267.58,329.25,487,130312.69,160344.97,30032.29,23.05,TSL
OLECTRA,2024-01-05,2024-03-07,1355.73,1870.25,94,127439.04,175803.16,48364.12,37.95,TSL
ASTERDM,2023-04-17,2024-03-12,189.4,327.96,533,100948.97,174805.08,73856.12,73.16,TSL
VEDL,2024-01-03,2024-03-14,219.84,213.5,581,127727.64,124044.4,-3683.23,-2.88,TSL
JUSTDIAL,2024-01-18,2024-03-14,861.29,766.85,154,132638.66,118094.59,-14544.07,-10.97,TSL
POWERMECH,2024-01-30,2024-03-14,2551.99,2327.33,53,135255.62,123348.5,-11907.12,-8.8,TSL
HEROMOTOCO,2023-05-31,2024-04-18,2520.19,4039.39,40,100807.68,161575.6,60767.93,60.28,TSL
RCF,2024-06-19,2024-06-25,179.04,190.4,771,138037.3,146798.74,8761.44,6.35,TSL
SCI,2024-06-19,2024-06-27,271.82,241.48,509,138354.29,122911.95,-15442.35,-11.16,TSL
IFCI,2024-06-12,2024-06-28,67.1,60.21,2057,138025.73,123851.04,-14174.68,-10.27,TSL
TI,2024-06-14,2024-07-04,272.43,243.06,506,137848.92,122990.24,-14858.68,-10.78,TSL
PGEL,2024-05-29,2024-07-19,257.73,356.19,526,135567.91,187356.63,51788.72,38.2,TSL
NBCC,2024-06-12,2024-07-22,103.77,111.32,1328,137810.17,147832.61,10022.43,7.27,TSL
IEX,2024-06-12,2024-07-22,162.66,160.55,846,137611.01,135824.4,-1786.61,-1.3,TSL
EMIL,2024-06-18,2024-07-22,247.35,213.59,558,138021.56,119182.74,-18838.82,-13.65,TSL
TEXRAIL,2024-06-27,2024-08-06,221.47,244.76,595,131772.05,145630.81,13858.75,10.52,TSL
PGIL,2024-06-28,2024-08-07,706.58,907.0,175,123652.21,158724.59,35072.38,28.36,TSL
ACI,2024-07-30,2024-08-08,768.44,676.06,193,148309.73,130480.24,-17829.48,-12.02,TSL
SUNTV,2024-06-07,2024-08-13,690.78,770.07,195,134702.52,150163.11,15460.59,11.48,TSL
ACI,2024-08-23,2024-09-03,812.3,709.5,187,151899.79,132676.77,-19223.02,-12.66,TSL
KITEX,2024-08-12,2024-09-20,80.41,151.03,1797,144489.29,271407.86,126918.57,87.84,TSL
JAIBALAJI,2024-09-25,2024-10-01,233.95,209.92,687,160723.93,144218.23,-16505.7,-10.27,TSL
JUBLFOOD,2024-06-25,2024-10-04,569.68,628.01,242,137863.47,151978.42,14114.95,10.24,TSL
NAZARA,2024-07-04,2024-10-07,229.84,239.5,536,123196.52,128373.45,5176.93,4.2,TSL
YATHARTH,2024-08-22,2024-11-11,498.8,608.79,301,150137.92,183244.42,33106.51,22.05,TSL
KIRLOSBROS,2024-12-04,2024-12-24,2329.83,1990.55,67,156098.73,133366.69,-22732.04,-14.56,TSL
ICICIBANK,2023-05-12,2025-01-22,918.42,1190.02,109,100107.97,129711.76,29603.79,29.57,TSL
CHOLAHLDNG,2025-04-24,2025-05-12,1971.6,1773.11,78,153784.51,138302.78,-15481.73,-10.07,TSL
AADHARHFC,2025-04-23,2025-05-30,476.66,429.5,322,153485.79,138300.54,-15185.25,-9.89,TSL
AZAD,2025-05-20,2025-06-09,1862.79,1662.5,83,154611.57,137987.71,-16623.86,-10.75,TSL
GMRAIRPORT,2025-04-30,2025-06-13,89.33,80.28,1720,153654.13,138080.57,-15573.56,-10.14,TSL
KITEX,2025-05-26,2025-06-16,279.67,256.92,547,152979.22,140537.17,-12442.05,-8.13,TSL
KPRMILL,2025-05-13,2025-06-16,1176.03,1072.64,128,150531.41,137298.22,-13233.19,-8.79,TSL
RAILTEL,2025-06-11,2025-06-20,447.79,404.87,262,117319.7,106075.43,-11244.27,-9.58,TSL
ERIS,2025-05-27,2025-06-23,1552.22,1598.7,98,152118.04,156672.44,4554.4,2.99,TSL
ASTRAMICRO,2025-05-13,2025-06-26,865.25,1056.83,174,150553.89,183888.85,33334.96,22.14,TSL
BEML,2025-06-06,2025-07-24,2234.52,2148.0,69,154181.98,148211.99,-5969.98,-3.87,TSL
CRISIL,2025-07-01,2025-07-29,6002.71,5303.31,24,144064.93,127279.56,-16785.38,-11.65,TSL
JMFINANCIL,2025-06-13,2025-07-31,138.85,153.46,997,138428.68,152998.39,14569.71,10.53,TSL
JUBLINGREA,2025-07-09,2025-08-05,810.76,743.57,162,131343.81,120457.67,-10886.15,-8.29,TSL
IMFA,2025-07-01,2025-08-07,785.21,699.89,190,149190.72,132978.81,-16211.91,-10.87,TSL
BIOCON,2025-07-07,2025-08-11,382.52,342.09,393,150331.51,134439.84,-15891.67,-10.57,TSL
ASHAPURMIN,2025-07-24,2025-08-14,572.93,503.38,260,148962.96,130878.76,-18084.2,-12.14,TSL
THYROCARE,2025-05-27,2025-09-12,333.94,415.34,457,152611.17,189809.06,37197.89,24.37,TSL
ABSLAMC,2025-06-09,2025-09-26,771.98,802.29,197,152079.08,158052.07,5972.98,3.93,TSL
ZYDUSWELL,2025-06-24,2025-10-01,407.77,457.66,365,148837.46,167046.81,18209.34,12.23,TSL
HINDZINC,2025-10-16,2025-11-24,507.99,449.4,297,150873.99,133472.27,-17401.73,-11.53,TSL
INDIANB,2025-05-20,2025-12-09,602.52,777.93,257,154847.65,199928.35,45080.7,29.11,TSL
YESBANK,2025-10-16,2026-01-27,23.51,20.97,6432,151185.47,134869.39,-16316.08,-10.79,TSL
ABSLAMC,2026-02-19,2026-03-24,908.71,907.64,162,147211.18,147037.11,-174.07,-0.12,TSL
SPLPETRO,2026-04-27,2026-05-06,820.23,735.99,185,151742.27,136158.95,-15583.32,-10.27,TSL
ACMESOLAR,2026-04-16,2026-05-18,287.43,273.94,514,147739.28,140804.38,-6934.9,-4.69,TSL
AXISCADES,2026-04-16,2026-05-27,1725.88,1947.08,85,146700.22,165501.38,18801.15,12.82,TSL
GOKULAGRO,2026-04-17,2026-05-29,207.31,228.51,716,148434.32,163610.82,15176.5,10.22,END_OF_BACKTEST
