Ticker,Entry Date,Entry Price,Exit Date,Exit Price,Return (%),Reason
LICNETFN50,2021-12-01,202.82000732421875,2021-12-06,182.14999389648438,-10.19130888536664,EMA Cross Down
NV20BEES,2021-12-10,98.25,2021-12-20,95.0199966430664,-3.28753522334208,EMA Cross Down
NV20,2021-12-10,97.70999908447266,2021-12-21,95.51000213623047,-2.251557638783966,EMA Cross Down
PSUBNKBEES,2021-09-17,26.979999542236328,2021-12-22,27.399999618530273,1.5567089822831486,EMA Cross Down
LICNETFSEN,2022-01-05,647.97998046875,2022-02-08,620.5,-4.240868745492866,EMA Cross Down
LICNETFN50,2022-01-12,192.25999450683594,2022-02-08,183.25,-4.6863594945726375,EMA Cross Down
NIFTY1,2022-01-06,187.25,2022-02-14,177.97000122070312,-4.955940603095795,EMA Cross Down
NIFTYETF,2022-01-06,183.3000030517578,2022-02-14,174.00999450683594,-5.068198794464115,EMA Cross Down
SETFNIF50,2022-01-06,181.5,2022-02-14,172.7899932861328,-4.798901770725723,EMA Cross Down
NIFTYIETF,2022-01-06,190.67999267578125,2022-02-14,181.32000732421875,-4.908740146365306,EMA Cross Down
INFRABEES,2022-01-06,527.1099853515625,2022-02-14,502.3699951171875,-4.693515759879669,EMA Cross Down
QNIFTY,2022-01-06,1852.0,2022-02-14,1769.0999755859375,-4.476243218901863,EMA Cross Down
IVZINNIFTY,2022-01-06,1946.0899658203125,2022-02-14,1837.550048828125,-5.577332954719591,EMA Cross Down
MOM50,2022-01-06,176.25,2022-02-16,171.99000549316406,-2.417018159906915,EMA Cross Down
NV20IETF,2021-12-09,9.48900032043457,2022-02-22,9.390999794006348,-1.032780304761698,EMA Cross Down
PSUBANK,2022-01-12,271.5400085449219,2022-03-04,252.69000244140625,-6.941889044095392,EMA Cross Down
PSUBNKBEES,2022-01-12,30.1200008392334,2022-03-04,28.149999618530273,-6.540508518635435,EMA Cross Down
NV20,2022-03-23,99.68000030517578,2022-04-27,95.5999984741211,-4.093099737724256,EMA Cross Down
NV20BEES,2022-03-23,100.2300033569336,2022-04-27,96.7300033569336,-3.4919683555591554,EMA Cross Down
NV20IETF,2022-03-24,9.848999977111816,2022-04-27,9.39900016784668,-4.568989849841563,EMA Cross Down
LICNETFSEN,2022-04-04,648.5800170898438,2022-04-27,611.5,-5.717107544604984,EMA Cross Down
IVZINNIFTY,2022-04-04,1981.0,2022-05-02,1852.699951171875,-6.476529471384401,EMA Cross Down
QNIFTY,2022-04-04,1892.0,2022-05-02,1789.25,-5.430761099365751,EMA Cross Down
NIFTY1,2022-04-04,190.32000732421875,2022-05-02,180.1199951171875,-5.35940091135824,EMA Cross Down
MOM50,2022-04-04,178.63999938964844,2022-05-04,166.6999969482422,-6.68383479747041,EMA Cross Down
NIFTYBEES,2022-04-04,195.19000244140625,2022-05-04,181.0500030517578,-7.244223173721768,EMA Cross Down
PSUBANK,2022-04-04,279.9599914550781,2022-05-06,256.239990234375,-8.472639643050279,EMA Cross Down
DIVOPPBEES,2022-03-30,45.58000183105469,2022-05-09,43.900001525878906,-3.6858276386271642,EMA Cross Down
MOM100,2022-04-06,32.779998779296875,2022-05-09,29.709999084472656,-9.365466165798527,EMA Cross Down
QGOLDHALF,2022-01-11,40.9900016784668,2022-06-21,43.54999923706055,6.245419501747883,EMA Cross Down
GOLD1,2022-07-05,45.060001373291016,2022-07-08,43.880001068115234,-2.618731178901423,EMA Cross Down
GOLDBEES,2022-07-04,44.68000030517578,2022-07-11,43.560001373291016,-2.506712005897242,EMA Cross Down
GOLDBETA,2022-07-04,44.79999923706055,2022-07-12,43.45000076293945,-3.013389502480873,EMA Cross Down
AXISGOLD,2022-07-04,44.81999969482422,2022-07-12,43.689998626708984,-2.521198294978405,EMA Cross Down
LICMFGOLD,2022-07-01,4735.35009765625,2022-07-14,4630.2998046875,-2.2184271659395236,EMA Cross Down
SETFGOLD,2022-02-01,42.650001525878906,2022-07-27,44.83000183105469,5.111372162209688,EMA Cross Down
AXISGOLD,2022-08-04,44.54999923706055,2022-09-06,43.689998626708984,-1.930416666845057,EMA Cross Down
LICMFGOLD,2022-08-05,4776.4501953125,2022-09-08,4666.2001953125,-2.3081995099246897,EMA Cross Down
MOHEALTH,2022-12-30,24.110000610351562,2023-01-02,23.049999237060547,-4.396521553118116,EMA Cross Down
LICNFNHGP,2023-01-23,194.75,2023-01-25,191.6699981689453,-1.5815157027238447,EMA Cross Down
SILVER1,2023-03-29,69.98999786376953,2023-06-23,68.25,-2.48606646217694,EMA Cross Down
AXISGOLD,2022-11-11,44.84000015258789,2023-06-26,50.189998626708984,11.931307885627481,EMA Cross Down
SILVERBEES,2023-03-21,67.36000061035156,2023-06-26,68.4800033569336,1.6627119008812992,EMA Cross Down
AXISILVER,2023-03-22,70.33999633789062,2023-06-26,70.98999786376953,0.9240852427067366,EMA Cross Down
HDFCPVTBAN,2023-04-24,216.14999389648438,2023-10-23,226.75999450683594,4.908628688387917,EMA Cross Down
ITBEES,2023-11-16,34.040000915527344,2024-04-03,37.15999984741211,9.16568404221628,EMA Cross Down
AXISTECETF,2023-11-16,337.510009765625,2024-04-03,369.0799865722656,9.353789781987079,EMA Cross Down
IT,2023-11-16,33.83000183105469,2024-04-04,37.380001068115234,10.493641870872674,EMA Cross Down
NIF100IETF,2023-11-15,216.1999969482422,2024-05-13,23.761999130249023,-89.00925094095278,EMA Cross Down
GOLD1,2023-10-23,51.7599983215332,2024-08-01,59.36000061035156,14.683157912036881,EMA Cross Down
HDFCGOLD,2023-10-23,53.11000061035156,2024-08-05,60.63999938964844,14.178118419808902,EMA Cross Down
GOLDBETA,2023-10-23,51.70000076293945,2024-08-06,59.79999923706055,15.667308229379145,EMA Cross Down
ABSLPSE,2024-09-30,11.329999923706055,2024-10-07,10.630000114440918,-6.17828608983932,EMA Cross Down
JUNIORBEES,2023-11-06,479.70001220703125,2024-10-25,744.489990234375,55.19907677489581,EMA Cross Down
ABSLNN50ET,2023-11-06,46.619998931884766,2024-10-25,72.2699966430664,55.019301370337146,EMA Cross Down
ALPL30IETF,2023-04-19,17.323999404907227,2024-10-28,29.450000762939453,69.99539237225669,EMA Cross Down
SETFNN50,2023-11-06,475.7200012207031,2024-10-28,740.5499877929688,55.66929830419338,EMA Cross Down
LICNFNHGP,2023-11-07,209.3699951171875,2024-10-29,270.80999755859375,29.345180242764663,EMA Cross Down
BSLNIFTY,2023-11-16,22.440000534057617,2024-10-30,27.979999542236328,24.688052033557437,EMA Cross Down
NIFTYIETF,2023-11-16,216.77999877929688,2024-10-30,270.80999755859375,24.923885544581385,EMA Cross Down
AXISNIFTY,2023-11-16,211.91000366210938,2024-10-30,264.2799987792969,24.71331896189832,EMA Cross Down
NIFTYBEES,2023-11-16,218.16000366210938,2024-10-30,272.1600036621094,24.752474832021132,EMA Cross Down
NIFTY1,2023-11-16,212.77000427246094,2024-10-31,263.739990234375,23.955437767743263,EMA Cross Down
HDFCNIFTY,2023-11-16,216.25,2024-10-31,267.9700012207031,23.916763570267342,EMA Cross Down
LICNETFSEN,2024-11-07,915.989990234375,2024-11-12,881.3099975585938,-3.7860667742567427,EMA Cross Down
SBIETFPB,2024-12-11,262.25,2024-12-19,254.5,-2.9551954242135365,EMA Cross Down
PVTBANIETF,2024-12-11,25.940000534057617,2024-12-20,24.700000762939453,-4.780261162639997,EMA Cross Down
SENSEXIETF,2024-12-11,921.0399780273438,2024-12-20,882.3400268554688,-4.201766708841609,EMA Cross Down
TOP10ADD,2024-12-11,96.74960327148438,2024-12-23,93.54930114746094,-3.3078193768332307,EMA Cross Down
BANKETF,2024-11-29,525.4500122070312,2024-12-31,513.0900268554688,-2.352266640864131,EMA Cross Down
BANKBEES,2024-11-29,533.5999755859375,2024-12-31,522.7899780273438,-2.025861704120857,EMA Cross Down
ABSLBANETF,2024-11-29,52.7400016784668,2024-12-31,51.61000061035156,-2.1425882293375094,EMA Cross Down
BANKNIFTY1,2024-11-28,535.1799926757812,2025-01-01,524.6500244140625,-1.9675564120159357,EMA Cross Down
AXISBNKETF,2024-11-29,532.4099731445312,2025-01-01,522.989990234375,-1.7693100026882937,EMA Cross Down
BFSI,2024-11-25,24.6200008392334,2025-01-06,23.889999389648438,-2.9650748363162576,EMA Cross Down
LICNETFSEN,2024-12-10,913.9500122070312,2025-01-06,890.260009765625,-2.592045749219806,EMA Cross Down
MID150BEES,2024-12-11,224.9199981689453,2025-01-07,216.44000244140625,-3.7702275460492576,EMA Cross Down
MOM100,2024-12-10,63.29999923706055,2025-01-08,60.27000045776367,-4.786727987072214,EMA Cross Down
LICNMID100,2024-12-10,59.159000396728516,2025-01-08,56.28969955444336,-4.850150988088413,EMA Cross Down
MIDCAPIETF,2024-12-11,22.440000534057617,2025-01-08,21.40999984741211,-4.5900207759899825,EMA Cross Down
HDFCSML250,2024-12-09,185.02999877929688,2025-01-09,173.63999938964844,-6.155758236389759,EMA Cross Down
TNIDETF,2024-11-25,97.0999984741211,2025-01-16,95.31999969482422,-1.8331604606268628,EMA Cross Down
ITBETA,2025-02-03,464.989990234375,2025-02-12,425.29998779296875,-8.535668138017503,EMA Cross Down
SBIETFIT,2025-02-12,472.3699951171875,2025-02-13,446.510009765625,-5.474519046271567,EMA Cross Down
NV20BEES,2025-02-01,151.74789428710938,2025-02-25,95.22000122070312,-37.251187788777216,EMA Cross Down
SILVERIETF,2025-05-13,97.80999755859375,2025-05-20,96.0999984741211,-1.7482866037781768,EMA Cross Down
HNGSNGBEES,2025-05-15,398.010009765625,2025-06-12,382.94000244140625,-3.7863387740155034,EMA Cross Down
MAHKTECH,2025-05-13,22.6200008392334,2025-06-13,22.020000457763672,-2.6525214819137064,EMA Cross Down
MOMOMENTUM,2025-08-20,62.15999984741211,2025-08-28,60.47999954223633,-2.70270320028922,EMA Cross Down
MONEXT50,2025-08-20,67.87000274658203,2025-08-29,65.54000091552734,-3.43303629993153,EMA Cross Down
BFSI,2025-09-18,27.579999923706055,2025-09-30,26.899999618530273,-2.465555863150294,EMA Cross Down
MOHEALTH,2025-10-10,45.16999816894531,2025-12-09,44.31999969482422,-1.8817766406408083,EMA Cross Down
MONEXT50,2025-09-03,67.18000030517578,2025-12-10,67.33999633789062,0.2381602143317006,EMA Cross Down
MIDCAP,2024-11-04,159.5500030517578,2026-01-14,159.5500030517578,0.0,EMA Cross Down
AXISHCETF,2026-01-06,151.97999572753906,2026-01-14,147.9600067138672,-2.645077725149222,EMA Cross Down
HEALTHADD,2026-01-06,150.27999877929688,2026-01-14,146.30999755859375,-2.641736260946821,EMA Cross Down
NIF100BEES,2023-06-28,197.24000549316406,2026-01-15,265.5,34.60758091958261,EMA Cross Down
SETF10GILT,2025-12-24,259.8399963378906,2026-01-20,258.3599853515625,-0.5695855169284828,EMA Cross Down
HDFCBSE500,2025-09-11,37.0,2026-01-21,36.75,-0.6756756756756757,EMA Cross Down
NEXT50,2025-12-29,705.030029296875,2026-01-21,685.3699951171875,-2.7885385533569984,EMA Cross Down
NEXT50IETF,2025-12-31,72.91999816894531,2026-01-21,70.26000213623047,-3.647827892908074,EMA Cross Down
MONEXT50,2026-01-01,69.0199966430664,2026-01-21,66.61000061035156,-3.491735946001305,EMA Cross Down
NIFTYADD,2025-04-22,249.77999877929688,2026-01-22,264.7200012207031,5.9812645185442115,EMA Cross Down
AONENIFTY,2025-09-11,10.239999771118164,2026-01-22,10.369999885559082,1.26953239596335,EMA Cross Down
EQUAL50,2025-08-19,318.61248779296875,2026-02-02,325.31451416015625,2.103503981784421,EMA Cross Down
LICNFNHGP,2026-02-10,289.92999267578125,2026-03-02,278.9800109863281,-3.776767483900196,EMA Cross Down
FINIETF,2026-02-09,32.619998931884766,2026-03-05,31.149999618530273,-4.506435810816737,EMA Cross Down
EQUAL50,2026-02-03,333.873291015625,2026-03-06,323.3644104003906,-3.147565528008219,EMA Cross Down
BFSI,2026-02-04,28.729999542236328,2026-03-09,26.850000381469727,-6.54367974493975,EMA Cross Down
NIFTY100EW,2026-02-09,34.400001525878906,2026-03-09,32.630001068115234,-5.145349939685647,EMA Cross Down
NEXT50IETF,2026-02-10,73.47000122070312,2026-03-09,69.62000274658203,-5.240231945220388,EMA Cross Down
AUTOBEES,2026-02-09,284.739990234375,2026-03-10,275.239990234375,-3.3363771601524483,EMA Cross Down
AUTOIETF,2026-02-05,28.450000762939453,2026-03-11,26.6200008392334,-6.432336993431346,EMA Cross Down
OILIETF,2026-02-06,12.350000381469727,2026-03-11,11.65999984741211,-5.587048686192047,EMA Cross Down
NIF100BEES,2026-01-27,271.1499938964844,2026-03-12,258.1199951171875,-4.805457891424949,EMA Cross Down
MAKEINDIA,2026-02-04,157.25999450683594,2026-03-16,147.8699951171875,-5.971003254257562,EMA Cross Down
AXISVALUE,2025-09-03,28.510000228881836,2026-03-25,31.329999923706055,9.891265072553173,EMA Cross Down
VAL30IETF,2025-09-15,13.170000076293945,2026-03-25,14.84000015258789,12.680334598478495,EMA Cross Down
MOPSE,2026-01-05,102.5,2026-03-25,99.19999694824219,-3.2195151724466466,EMA Cross Down
BBETF0432,2026-02-04,1310.0,2026-03-30,1295.47998046875,-1.1083984375,EMA Cross Down
SILVERIETF,2025-05-21,98.23999786376953,2026-04-01,234.2100067138672,138.40595664369695,EMA Cross Down
LTGILTBEES,2025-09-12,28.84000015258789,2026-04-01,28.899999618530273,0.20804252990615502,EMA Cross Down
PHARMABEES,2026-02-25,23.65999984741211,2026-04-02,22.40999984741211,-5.283178394173671,EMA Cross Down
ABGSEC,2025-09-17,110.33999633789062,2026-04-07,110.9000015258789,0.5075269227609863,EMA Cross Down
ABGSEC,2026-04-10,112.87999725341797,2026-04-13,110.7300033569336,-1.9046721729250167,EMA Cross Down
GSEC10ABSL,2026-04-16,111.25,2026-05-01,108.20999908447266,-2.7325850926088484,EMA Cross Down
ABGSEC,2026-04-16,112.06999969482422,2026-05-20,110.7699966430664,-1.15999201864712,EMA Cross Down
EBBETF0431,2026-04-17,1403.3900146484375,2026-05-25,1391.1600341796875,-0.8714598465925187,EMA Cross Down
ICICIB22,2026-04-16,123.87999725341797,2026-06-02,118.56999969482422,-4.286404323799936,EMA Cross Down
ABSLPSE,2026-04-16,10.84000015258789,2026-06-09,10.420000076293945,-3.8745393946666735,EMA Cross Down
MOPSE,2026-04-16,106.11000061035156,2026-06-09,102.05000305175781,-3.8262157527475096,EMA Cross Down
EQUAL50ADD,2026-05-04,337.67999267578125,2026-06-11,327.7699890136719,-2.9347322545177636,EMA Cross Down
